"YTA","BEH","AGE","GALL","dod_n","nfg","nut","neg","nutcum","volfg","volut","voleg","volut_cum","Totvol","MAI","mh_fg","mh_ut","mh_eg","md_fg","md_ut","md_eg","bafg","baut","baeg","baut_cum","Totba","SI"
1,"Konv"," 7.0","0.0","52.0","2305.0","   0.0","2253.0","   0.0"," 24.76016"," 0.00000"," 24.76016"," 0.00000"," 24.76016","3.537165"," 79.77488","0"," 80.0"," 57.49711","0"," 57.0"," 6.18003","0.000000"," 6.180030"," 0.000000"," 6.18003","28.36"
1,"Konv"," 9.0","1.0"," 0.0","2253.0","1042.0","1211.0","1042.0"," 46.91480","17.97581"," 28.93899","17.97581"," 46.91480","5.212756"," 98.70156","95","102.0"," 73.85260","68"," 79.0","10.10753","3.959225"," 6.148302"," 3.959225","10.10753","28.19"
1,"Konv","12.0","0.0"," 0.0","1211.0","   0.0","1211.0","1042.0"," 57.58081"," 0.00000"," 57.58081","17.97581"," 75.55662","6.296385","125.88948","0","126.0","103.14516","0","103.0","10.39131","0.000000","10.391314"," 3.959225","14.35054","27.49"
1,"Konv","14.0","0.0"," 0.0","1211.0","   0.0","1211.0","1042.0"," 81.42197"," 0.00000"," 81.42197","17.97581"," 99.39778","7.099842","141.07375","0","141.0","116.69355","0","117.0","13.30844","0.000000","13.308444"," 3.959225","17.26767","27.26"
1,"Konv","15.0","1.0"," 0.0","1211.0"," 410.0"," 801.0","1452.0"," 93.34735","23.28542"," 70.06194","41.26123","111.32316","7.421544","145.69828","138","150.0","123.11828","108","131.0","14.83805","3.861510","10.976543"," 7.820735","18.79728","27.37"
1,"Konv","17.0","0.0"," 0.0"," 801.0","   0.0"," 801.0","1452.0"," 89.09733"," 0.00000"," 89.09733","41.26123","130.35855","7.668150","161.32631","0","161.0","143.02439","0","143.0","13.12851","0.000000","13.128513"," 7.820735","20.94925","27.03"
1,"Konv","19.0","0.0"," 0.0"," 794.0","   0.0"," 794.0","1452.0","100.95113"," 0.00000","100.95113","41.26123","142.21236","7.484861","169.93584","0","170.0","149.14754","0","149.0","14.17557","0.000000","14.175568"," 7.820735","21.99630","26.67"
1,"Konv","22.0","1.0"," 0.0"," 794.0"," 273.0"," 521.0","1725.0","126.70535","35.25660"," 91.44874","76.51783","167.96657","7.634844","183.80883","177","187.0","161.18033","146","169.0","16.57020","4.695433","11.874770","12.516169","24.39094","26.68"
2,"Svag"," 7.0","0.0","85.0","2233.0","  0.0","2148.0","   0.0"," 21.02132"," 0.000000"," 21.02132"," 0.000000"," 21.02132","3.003046"," 78.03425","0"," 78.0"," 54.68182","0"," 55.0"," 5.323777","0.000000"," 5.323777","0.000000"," 5.323777","28.07"
2,"Svag"," 9.0","1.0"," 0.0","2149.0","534.0","1615.0"," 534.0"," 40.43095"," 6.742809"," 33.68815"," 6.742809"," 40.43095","4.492328"," 96.65765","89"," 99.0"," 70.57879","59"," 74.0"," 8.827206","1.548528"," 7.278677","1.548528"," 8.827206","27.83"
2,"Svag","12.0","1.0"," 0.0","1615.0","534.0","1081.0","1068.0"," 61.36328","15.553421"," 45.80986","22.296229"," 68.10609","5.675508","120.79436","115","124.0"," 93.24597","83"," 98.0","11.365944","2.977380"," 8.388564","4.525908","12.914472","27.28"
2,"Svag","14.0","0.0"," 0.0","1081.0","  0.0","1081.0","1068.0"," 66.32565"," 0.000000"," 66.32565","22.296229"," 88.62187","6.330134","139.04582","0","139.0","112.50000","0","112.0","10.973858","0.000000","10.973858","4.525908","15.499766","27.07"
2,"Svag","17.0","0.0"," 0.0","1081.0","  0.0","1081.0","1068.0"," 93.70231"," 0.000000"," 93.70231","22.296229","115.99854","6.823443","153.86128","0","154.0","127.92169","0","128.0","14.206426","0.000000","14.206426","4.525908","18.732334","26.37"
2,"Svag","19.0","0.0"," 0.0","1055.0","  0.0","1055.0","1068.0","106.00154"," 0.000000","106.00154","22.296229","128.29777","6.752514","163.17315","0","163.0","134.30247","0","134.0","15.243019","0.000000","15.243019","4.525908","19.768927","26.03"
2,"Svag","22.0","1.0"," 0.0","1054.0","299.0"," 755.0","1367.0","131.58391","27.028292","104.55562","49.324521","153.88014","6.994552","176.45034","168","180.0","144.09568","125","152.0","17.577404","3.731000","13.846403","8.256909","22.103312","26.05"
3,"Stark"," 7.0","0.0","94.0","2325.0","   0.0","2231.0","   0.0","25.11094"," 0.0000000","25.11094"," 0.00000"," 25.11094","3.587277"," 80.13849","0"," 80.0"," 58.11747","0"," 58.0"," 6.251954","0.00000000"," 6.251954"," 0.000000"," 6.251954","28.36"
3,"Stark"," 9.0","1.0"," 0.0","2224.0","1411.0"," 813.0","1411.0","47.61871","27.4365886","20.18212","27.43659"," 47.61871","5.290968"," 99.02336","97","102.0"," 74.54985","71"," 80.0","10.213512","5.95622110"," 4.257291"," 5.956221","10.213512","28.19"
3,"Stark","12.0","0.0"," 0.0"," 813.0","  13.0"," 800.0","1424.0","41.26940"," 0.4791332","40.79027","27.91572"," 68.70599","5.725499","126.79605","97","127.0","105.57025","70","106.0"," 7.380558","0.08365968"," 7.296898"," 6.039881","13.336779","27.60"
3,"Stark","14.0","0.0"," 0.0"," 800.0","   0.0"," 800.0","1424.0","58.95023"," 0.0000000","58.95023","27.91572"," 86.86595","6.204711","143.43131","0","143.0","121.51261","0","122.0"," 9.531989","0.00000000"," 9.531989"," 6.039881","15.571870","27.46"
3,"Stark","17.0","0.0"," 0.0"," 800.0","   0.0"," 800.0","1424.0","81.73137"," 0.0000000","81.73137","27.91572","109.64709","6.449829","158.25032","0","158.0","137.05042","0","137.0","12.141596","0.00000000","12.141596"," 6.039881","18.181477","26.75"
3,"Stark","19.0","1.0"," 0.0"," 800.0"," 323.0"," 477.0","1747.0","94.31323","30.3924338","63.92080","58.30816","122.22896","6.433103","167.18430","160","172.0","143.48739","129","153.0","13.324697","4.38868671"," 8.936010","10.428567","19.364578","26.85"
3,"Stark","22.0","0.0"," 0.0"," 477.0","   0.0"," 477.0","1747.0","82.60376"," 0.0000000","82.60376","58.30816","140.91191","6.405087","186.81579","0","187.0","168.08451","0","168.0","10.738789","0.00000000","10.738789","10.428567","21.167357","26.68"
4,"Svag"," 7.0","0.0","34.0","2332.0","  0.0","2298.0","   0.0"," 28.29235"," 0.00000"," 28.29235"," 0.00000"," 28.29235","4.041764"," 82.0807","0"," 82.0"," 61.02632","0"," 61.0"," 6.993321","0.000000"," 6.993321","0.000000"," 6.993321","28.65"
4,"Svag"," 9.0","1.0"," 7.0","2306.0","706.0","1593.0"," 706.0"," 51.57762","13.56152"," 38.01610","13.56152"," 51.57762","5.730847","100.4428","97","102.0"," 76.61988","71"," 79.0","11.022124","2.948199"," 8.073925","2.948199","11.022124","28.19"
4,"Svag","12.0","1.0"," 0.0","1600.0","585.0","1015.0","1291.0"," 69.20002","18.65007"," 50.54995","32.21159"," 82.76154","6.896795","123.6126","117","127.0"," 98.71849","87","106.0","12.618915","3.536688"," 9.082227","6.484887","15.567114","27.60"
4,"Svag","14.0","0.0"," 0.0","1015.0","  0.0","1015.0","1291.0"," 71.35397"," 0.00000"," 71.35397","32.21159","103.56556","7.397540","142.5079","0","143.0","119.41060","0","119.0","11.613996","0.000000","11.613996","6.484887","18.098883","27.46"
4,"Svag","17.0","0.0"," 0.0","1015.0","  0.0","1015.0","1291.0"," 99.24395"," 0.00000"," 99.24395","32.21159","131.45554","7.732679","157.2619","0","157.0","134.80132","0","135.0","14.831162","0.000000","14.831162","6.484887","21.316049","26.66"
4,"Svag","19.0","0.0"," 0.0","1015.0","  0.0","1015.0","1291.0","112.93400"," 0.00000","112.93400","32.21159","145.14559","7.639241","165.8356","0","166.0","140.24503","0","140.0","16.060384","0.000000","16.060384","6.484887","22.545271","26.30"
4,"Svag","22.0","1.0"," 0.0","1015.0","249.0"," 766.0","1540.0","138.09015","21.68761","116.40254","53.89920","170.30174","7.740988","178.7513","167","183.0","149.55298","123","158.0","18.295179","3.002641","15.292538","9.487528","24.780066","26.32"
5,"Stark"," 7.0","0.0","20.0","2372.0","   0.0","2352.0","   0.0","29.04065"," 0.00000","29.04065"," 0.00000"," 29.04065","4.148665"," 82.09949","0"," 82.0"," 61.14286","0"," 61.0"," 7.181358","0.000000"," 7.181358"," 0.000000"," 7.181358","28.65"
5,"Stark"," 9.0","1.0"," 0.0","2352.0","1519.0"," 833.0","1519.0","52.58419","31.25002","21.33417","31.25002"," 52.58419","5.842688","100.30289","98","104.0"," 76.49143","73"," 82.0","11.247693","6.748349"," 4.499344"," 6.748349","11.247693","28.44"
5,"Stark","12.0","0.0"," 0.0"," 833.0","   0.0"," 833.0","1519.0","43.60889"," 0.00000","43.60889","31.25002"," 74.85891","6.238243","128.27848","0","128.0","107.95968","0","108.0"," 7.791894","0.000000"," 7.791894"," 6.748349","14.540243","27.70"
5,"Stark","14.0","0.0"," 0.0"," 833.0","   0.0"," 833.0","1519.0","61.60292"," 0.00000","61.60292","31.25002"," 92.85294","6.632353","143.86801","0","144.0","122.17742","0","122.0"," 9.971126","0.000000"," 9.971126"," 6.748349","16.719475","27.56"
5,"Stark","17.0","0.0"," 0.0"," 827.0","   0.0"," 827.0","1519.0","85.11624"," 0.00000","85.11624","31.25002","116.36626","6.845074","158.80366","0","159.0","137.97561","0","138.0","12.646763","0.000000","12.646763"," 6.748349","19.395112","26.85"
5,"Stark","19.0","1.0"," 0.0"," 820.0"," 336.0"," 484.0","1855.0","96.60367","31.98488","64.61880","63.23489","127.85369","6.729142","167.48321","161","172.0","143.90984","130","153.0","13.660138","4.619244"," 9.040893","11.367593","20.408487","26.85"
5,"Stark","22.0","0.0"," 0.0"," 484.0","   0.0"," 484.0","1855.0","80.72460"," 0.00000","80.72460","63.23489","143.95950","6.543613","185.74974","0","186.0","165.38194","0","165.0","10.526762","0.000000","10.526762","11.367593","21.894355","26.59"
6,"Konv"," 7.0","0.0","94.0","2305.0","  0.0","2211.0","   0.0"," 27.37602"," 0.0000000"," 27.37602"," 0.00000"," 27.37602","3.910860"," 82.30732","0"," 82.0"," 61.33739","0"," 61.0"," 6.769182","0.0000000"," 6.769182"," 0.000000"," 6.769182","28.65"
6,"Konv"," 9.0","1.0"," 0.0","2211.0","981.0","1230.0"," 981.0"," 50.16965","18.9042656"," 31.26538","18.90427"," 50.16965","5.574405","100.80455","97","104.0"," 77.15805","72"," 82.0","10.715296","4.1196984"," 6.595597"," 4.119698","10.715296","28.44"
6,"Konv","12.0","0.0"," 0.0","1230.0","  0.0","1230.0"," 981.0"," 61.52340"," 0.0000000"," 61.52340","18.90427"," 80.42767","6.702306","127.09740","0","127.0","105.57923","0","106.0","11.040919","0.0000000","11.040919"," 4.119698","15.160618","27.60"
6,"Konv","14.0","0.0"," 0.0","1230.0","  0.0","1230.0"," 981.0"," 84.78530"," 0.0000000"," 84.78530","18.90427","103.68957","7.406398","141.74609","0","142.0","118.03279","0","118.0","13.819144","0.0000000","13.819144"," 4.119698","17.938842","27.36"
6,"Konv","15.0","1.0"," 0.0","1230.0","430.0"," 800.0","1411.0"," 94.61789","23.1825018"," 71.43539","42.08677","113.52216","7.568144","145.71854","136","151.0","123.12022","106","132.0","15.048994","3.8767739","11.172220"," 7.996472","19.168693","27.46"
6,"Konv","17.0","0.0"," 0.0"," 800.0","  0.0"," 800.0","1411.0"," 87.80139"," 0.0000000"," 87.80139","42.08677","129.88816","7.640480","161.09162","0","161.0","142.42017","0","142.0","12.963377","0.0000000","12.963377"," 7.996472","20.959849","27.03"
6,"Konv","19.0","0.0"," 0.0"," 800.0","  7.0"," 793.0","1418.0","101.04844"," 0.8929431","100.15549","42.97971","143.13520","7.533432","169.96397","172","170.0","149.05882","154","149.0","14.203525","0.1251781","14.078347"," 8.121650","22.199997","26.67"
6,"Konv","22.0","1.0"," 0.0"," 799.0","302.0"," 497.0","1720.0","120.97554","35.2186639"," 85.75688","78.19837","163.95525","7.452512","182.34638","175","187.0","157.55462","140","168.0","15.893946","4.7393131","11.154633","12.860964","24.015597","26.68"
7,"Konv"," 7.0","0.0","195.0","2204.0","  0.0","2009.0","   0.0"," 23.62465"," 0.0000000","23.62465"," 0.00000"," 23.62465","3.374950"," 80.83918","0"," 81.0"," 59.26421","0"," 59.0"," 5.852050","0.0000000"," 5.852050"," 0.000000"," 5.852050","28.50"
7,"Konv"," 9.0","1.0","  0.0","2009.0","793.0","1216.0"," 793.0"," 43.57925","13.7710829","29.80816","13.77108"," 43.57925","4.842139"," 99.31216","95","102.0"," 74.98328","68"," 80.0"," 9.330256","3.0258256"," 6.304430"," 3.025826"," 9.330256","28.19"
7,"Konv","12.0","0.0","  0.0","1216.0"," 20.0","1196.0"," 813.0"," 55.53459"," 0.7750276","54.75956","14.54611"," 69.30567","5.775473","124.43339","122","124.0","100.66298","95","101.0","10.049845","0.1438630"," 9.905982"," 3.169689","13.075671","27.28"
7,"Konv","14.0","0.0","  0.0","1196.0","  0.0","1196.0"," 813.0"," 74.70964"," 0.0000000","74.70964","14.54611"," 89.25575","6.375410","138.49166","0","138.0","112.14607","0","112.0","12.291355","0.0000000","12.291355"," 3.169689","15.461043","26.97"
7,"Konv","15.0","1.0","  0.0","1196.0","403.0"," 793.0","1216.0"," 83.55945","20.0018944","63.55756","34.54800"," 98.10556","6.540371","142.16740","133","147.0","117.09551","101","126.0","13.420518","3.3595618","10.060956"," 6.529250","16.590206","27.08"
7,"Konv","17.0","0.0","  0.0"," 793.0","  0.0"," 793.0","1216.0"," 78.72546"," 0.0000000","78.72546","34.54800","113.27346","6.663145","157.60302","0","158.0","135.55932","0","136.0","11.740837","0.0000000","11.740837"," 6.529250","18.270087","26.75"
7,"Konv","19.0","1.0","  0.0"," 793.0"," 67.0"," 726.0","1283.0"," 90.57860"," 4.0494818","86.52911","38.59749","125.12660","6.585611","166.47340","149","168.0","141.72881","107","145.0","12.844047","0.6167856","12.227261"," 7.146036","19.373297","26.49"
7,"Konv","22.0","1.0"," 67.0"," 792.0","208.0"," 517.0","1491.0","101.88565","23.8829455","78.00270","62.48043","140.48314","6.385597","179.90618","174","182.0","152.00000","139","157.0","13.467362","3.2171397","10.250222","10.363176","20.613398","26.23"
8,"Stark"," 7.0","0.0","79.0","2256.0","   0.0","2177.0","   0.0"," 27.22948"," 0.0000000","27.22948"," 0.00000"," 27.22948","3.889926"," 82.21213","0"," 82.0"," 61.34653","0"," 61.0"," 6.713879","0.0000000"," 6.713879"," 0.000000"," 6.713879","28.65"
8,"Stark"," 9.0","1.0"," 0.0","2183.0","1307.0"," 876.0","1307.0"," 48.75385","26.4335761","22.32027","26.43358"," 48.75385","5.417095","100.06956","98","103.0"," 76.19079","73"," 81.0","10.414143","5.7244749"," 4.689668"," 5.724475","10.414143","28.31"
8,"Stark","12.0","0.0"," 0.0"," 891.0","   7.0"," 884.0","1314.0"," 46.51836"," 0.6863372","45.83202","27.11991"," 72.95193","6.079328","126.88421","144","127.0","106.35484","143","106.0"," 8.280952","0.1153779"," 8.165574"," 5.839853","14.005427","27.60"
8,"Stark","14.0","0.0"," 0.0"," 884.0","   0.0"," 884.0","1314.0"," 65.32972"," 0.0000000","65.32972","27.11991"," 92.44963","6.603545","142.30187","0","142.0","120.46341","0","120.0","10.532206","0.0000000","10.532206"," 5.839853","16.372059","27.36"
8,"Stark","17.0","0.0"," 0.0"," 891.0","   0.0"," 891.0","1314.0"," 92.33434"," 0.0000000","92.33434","27.11991","119.45425","7.026721","157.30254","0","157.0","136.46774","0","136.0","13.656900","0.0000000","13.656900"," 5.839853","19.496753","26.66"
8,"Stark","19.0","1.0"," 0.0"," 869.0"," 402.0"," 467.0","1716.0","105.24921","38.2520745","66.99713","65.37199","132.36912","6.966796","167.49595","160","174.0","144.61983","129","158.0","14.816858","5.5109956"," 9.305862","11.350848","20.656711","27.04"
8,"Stark","22.0","0.0","22.0"," 489.0","   0.0"," 467.0","1716.0"," 81.25845"," 0.0000000","81.25845","65.37199","146.63043","6.665020","186.83103","0","187.0","168.27692","0","168.0","10.557396","0.0000000","10.557396","11.350848","21.908244","26.68"
9,"Svag"," 7.0","0.0","104.0","2250.0","  0.0","2146.0","   0.0"," 27.16965"," 0.000000"," 27.16965"," 0.000000"," 27.16965","3.881379"," 82.22636","0"," 82.0"," 61.47087","0"," 61.0"," 6.68067","0.0000000"," 6.680670","0.000000"," 6.68067","28.65"
9,"Svag"," 9.0","1.0"," 21.0","2146.0","531.0","1594.0"," 531.0"," 49.29183"," 9.483051"," 39.80878"," 9.483051"," 49.29183","5.476870","100.85403","95","103.0"," 77.46569","68"," 81.0","10.47316","2.0754474"," 8.397714","2.075447","10.47316","28.31"
9,"Svag","12.0","1.0","  0.0","1614.0","562.0","1052.0","1093.0"," 69.79777","18.369030"," 51.42874","27.852081"," 79.28082","6.606735","123.42024","118","127.0"," 98.46452","87","104.0","12.71983","3.4658557"," 9.253978","5.541303","14.79528","27.60"
9,"Svag","14.0","0.0","  0.0","1062.0","  0.0","1062.0","1093.0"," 72.06100"," 0.000000"," 72.06100","27.852081"," 99.91308","7.136648","141.21292","0","141.0","117.11765","0","117.0","11.76713","0.0000000","11.767130","5.541303","17.30843","27.26"
9,"Svag","17.0","0.0","  0.0","1052.0","  0.0","1052.0","1093.0"," 97.76396"," 0.000000"," 97.76396","27.852081","125.61604","7.389179","155.39205","0","155.0","131.37624","0","131.0","14.68447","0.0000000","14.684467","5.541303","20.22577","26.47"
9,"Svag","19.0","1.0","  0.0"," 990.0"," 52.0"," 938.0","1145.0","104.76005"," 2.838060","101.92199","30.690141","132.61213","6.979586","163.93826","139","165.0","136.62105","94","139.0","14.96049","0.4266185","14.533867","5.967922","20.50179","26.21"
9,"Svag","22.0","1.0"," 52.0"," 989.0","177.0"," 760.0","1322.0","118.85719","13.956718","104.90047","44.646858","149.54733","6.797606","176.78043","163","180.0","144.97778","117","152.0","15.85005","1.9494360","13.900615","7.917358","21.81797","26.05"
10,"Svag"," 7.0","0.0","31.0","2239.0","  0.0","2208.0","   0.0"," 22.16491"," 0.000000","22.16491"," 0.000000"," 22.16491","3.166415"," 78.32977","0"," 78.0"," 55.21226","0"," 55.0"," 5.593172","0.0000000"," 5.593172","0.000000"," 5.593172","28.07"
10,"Svag"," 9.0","1.0"," 0.0","2198.0","573.0","1625.0"," 573.0"," 41.49163"," 7.940995","33.55064"," 7.940995"," 41.49163","4.610181"," 96.68105","90"," 99.0"," 70.63507","61"," 74.0"," 9.052876","1.7949784"," 7.257897","1.794978"," 9.052876","27.83"
10,"Svag","12.0","1.0"," 0.0","1625.0","573.0","1052.0","1146.0"," 60.07166","15.947559","44.12410","23.888554"," 68.01266","5.667721","119.86805","114","123.0"," 91.71154","81"," 98.0","11.147148","3.0609257"," 8.086222","4.855904","12.942126","27.18"
10,"Svag","14.0","0.0"," 0.0","1052.0","  0.0","1052.0","1146.0"," 62.16874"," 0.000000","62.16874","23.888554"," 86.05729","6.146950","138.01906","0","138.0","110.55446","0","111.0","10.330833","0.0000000","10.330833","4.855904","15.186737","26.97"
10,"Svag","17.0","0.0"," 0.0","1052.0","  0.0","1052.0","1146.0"," 85.86621"," 0.000000","85.86621","23.888554","109.75476","6.456162","151.95884","0","152.0","124.32673","0","124.0","13.105358","0.0000000","13.105358","4.855904","17.961262","26.19"
10,"Svag","19.0","1.0"," 0.0","1042.0"," 73.0"," 969.0","1219.0"," 98.25503"," 4.228684","94.02634","28.117238","122.14358","6.428610","160.93683","148","162.0","129.97000","105","132.0","14.207370","0.6468654","13.560505","5.502770","19.063274","25.93"
10,"Svag","22.0","1.0","73.0","1042.0","219.0"," 750.0","1438.0","110.27305","18.109440","92.16361","46.226678","138.39029","6.290468","173.63375","164","176.0","138.03226","119","144.0","14.851658","2.5141761","12.337482","8.016946","20.354428","25.69"
11,"Själv"," 9.0","1.0"," 0.0","2455.0","959.0","1496.0"," 959.0"," 21.26984"," 9.753552","11.51628"," 9.753552"," 21.26984","2.363315"," 82.87357","85"," 81.0"," 50.18543","53"," 48.0"," 5.150935","2.303937"," 2.846998","2.303937"," 5.150935","25.50"
11,"Själv","12.0","0.0"," 0.0","1512.0","  0.0","1512.0"," 959.0"," 40.31520"," 0.000000","40.31520"," 9.753552"," 50.06876","4.172396","113.21849","0","113.0"," 79.53763","0"," 80.0"," 7.795147","0.000000"," 7.795147","2.303937","10.099084","26.10"
11,"Själv","14.0","0.0"," 0.0","1512.0","  0.0","1512.0"," 959.0"," 60.18661"," 0.000000","60.18661"," 9.753552"," 69.94016","4.995726","126.54798","0","127.0"," 91.48387","0"," 91.0","10.459435","0.000000","10.459435","2.303937","12.763371","25.85"
11,"Själv","15.0","1.0"," 0.0","1512.0","455.0","1057.0","1414.0"," 71.57441","22.728450","48.84596","32.482002"," 81.32796","5.421864","131.92663","132","132.0"," 98.98925","100"," 98.0","12.118834","3.802170"," 8.316664","6.106107","14.422771","25.60"
11,"Själv","17.0","0.0"," 0.0","1057.0","  0.0","1057.0","1414.0"," 71.21673"," 0.000000","71.21673","32.482002","103.69873","6.099925","145.94283","0","146.0","113.35385","0","113.0","11.096871","0.000000","11.096871","6.106107","17.202978","25.61"
11,"Själv","19.0","0.0","33.0","1057.0","  0.0","1024.0","1414.0"," 87.24006"," 0.000000","87.24006","32.482002","119.72206","6.301161","156.14992","0","157.0","121.01538","0","123.0","12.755964","0.000000","12.755964","6.106107","18.862071","25.47"
11,"Själv","22.0","1.0"," 0.0","1040.0","276.0"," 764.0","1690.0","113.91702","19.372415","94.54460","51.854417","146.39902","6.654501","171.66615","161","176.0","134.43750","111","143.0","15.371296","2.746100","12.625196","8.852207","21.477402","25.69"
